Timestamp,Masks,Burrito,GreekTix,iPhone
9/4/2022 10:02:17,1,10,100,1000
9/6/2022 14:29:20,0.25,5,25,1500
9/6/2022 14:55:47,1,15,100,1000
9/6/2022 15:07:54,1,12.5,100,1000
9/6/2022 15:08:25,1,7.5,100,1250
9/6/2022 15:09:01,1.5,7.5,50,1000
9/6/2022 15:09:38,1.5,7.5,150,750
9/6/2022 15:09:44,1,10,100,1500
9/6/2022 15:09:44,0.25,5,100,1500
9/6/2022 15:09:46,1.25,10,75,1250
9/6/2022 15:09:47,1,7.5,100,1500
9/6/2022 15:09:54,0.25,2.5,100,1000
9/6/2022 15:09:59,1.5,12.5,150,500
9/6/2022 15:10:00,0.5,12.5,100,1250
9/6/2022 15:10:07,0.5,12.5,100,1000
9/6/2022 15:10:14,1.5,17.5,100,750
9/6/2022 15:10:14,2,12.5,50,1500
9/6/2022 15:10:16,0.25,5,200,1500
9/6/2022 15:10:17,2,5,50,500
9/6/2022 15:10:18,0.5,7.5,100,1000
9/6/2022 15:10:18,1,10,50,1000
9/6/2022 15:10:21,1,12.5,125,750
9/6/2022 15:10:21,0.5,7.5,25,1250
9/6/2022 15:10:21,2,7.5,50,1000
9/6/2022 15:10:22,0.25,10,150,1250
9/6/2022 15:10:22,0.25,10,50,500
9/6/2022 15:10:25,0.5,12.5,75,750
9/6/2022 15:10:25,0.25,15,125,1000
9/6/2022 15:10:27,1.5,7.5,100,1250
9/6/2022 15:10:27,2,10,75,1250
9/6/2022 15:10:29,1,10,50,1250
9/6/2022 15:10:29,0.5,7.5,25,1000
9/6/2022 15:10:30,0.25,7.5,50,1250
9/6/2022 15:10:30,2,5,100,1000
9/6/2022 15:10:31,1.5,10,150,1000
9/6/2022 15:10:32,1,7.5,50,1000
9/6/2022 15:10:34,1,7.5,100,250
9/6/2022 15:10:34,2,15,75,1250
9/6/2022 15:10:35,2,7.5,25,750
9/6/2022 15:10:37,0.25,15,75,1000
9/6/2022 15:10:38,0.5,7.5,100,500
9/6/2022 15:10:38,1.5,12.5,25,750
9/6/2022 15:10:42,0.5,10,100,750
9/6/2022 15:10:46,0.5,12.5,100,1000
9/6/2022 15:10:50,1.5,7.5,50,1000
9/6/2022 15:10:52,0.5,10,125,1250
9/6/2022 15:10:54,1.25,12.5,200,250
9/6/2022 15:10:55,0.5,7.5,50,250
9/6/2022 15:10:57,1.25,5,125,750
9/6/2022 15:10:57,1,5,200,1000
9/6/2022 15:11:03,2,5,75,500
9/6/2022 15:11:04,1,5,175,250
9/6/2022 15:11:04,1,10,50,750
9/6/2022 15:11:05,1,12.5,75,1000
9/6/2022 15:11:06,1,10,150,1250
9/6/2022 15:11:07,2,10,150,1000
9/6/2022 15:11:07,0.75,12.5,125,750
9/6/2022 15:11:11,1,7.5,25,1250
9/6/2022 15:11:11,1,5,50,500
9/6/2022 15:11:12,0.75,2.5,50,1000
9/6/2022 15:11:12,1,10,50,750
9/6/2022 15:11:17,0.25,10,25,250
9/6/2022 15:11:20,1.5,12.5,75,1000
9/6/2022 15:11:20,1,7.5,25,750
9/6/2022 15:11:30,1,5,200,1500
9/6/2022 15:11:37,2,15,125,250
9/6/2022 15:11:38,0.5,7.5,175,1250
9/6/2022 15:11:39,2,10,25,500
9/6/2022 15:11:39,0.75,7.5,75,1500
9/6/2022 15:11:40,1,5,100,1000
9/6/2022 15:11:41,1.75,7.5,25,1000
9/6/2022 15:11:42,0.5,2.5,75,250
9/6/2022 15:11:42,0.25,10,150,1250
9/6/2022 15:11:42,1,10,75,1000
9/6/2022 15:11:43,0.25,10,125,1500
9/6/2022 15:11:43,1,7.5,25,1250
9/6/2022 15:11:44,2,5,175,250
9/6/2022 15:11:44,0.5,5,50,750
9/6/2022 15:11:44,2,10,50,1000
9/6/2022 15:11:45,1,7.5,50,750
9/6/2022 15:11:47,1,5,100,750
9/6/2022 15:11:49,0.5,5,25,1000
9/6/2022 15:11:49,1,12.5,50,1000
9/6/2022 15:11:52,1,10,75,1250
9/6/2022 15:11:53,0.5,7.5,100,750
9/6/2022 15:11:53,1,7.5,100,1000
9/6/2022 15:11:53,0.5,5,25,250
9/6/2022 15:11:54,2,10,25,1250
9/6/2022 15:11:54,0.5,2.5,100,1000
9/6/2022 15:11:56,1,5,25,750
9/6/2022 15:12:00,1.5,7.5,100,1250
9/6/2022 15:12:05,1,2.5,50,1500
9/6/2022 15:12:08,1,12.5,50,750
9/6/2022 15:12:14,1,2.5,75,750
9/6/2022 15:12:17,1.5,12.5,100,750
9/6/2022 15:12:36,0.5,12.5,100,1000
9/7/2022 23:27:09,0.5,15,100,1000
9/19/2022 17:26:54,0.25,10,100,750
10/21/2022 11:07:55,2,10,25,250